"","Scenario","Hunting_bias","Herring_quality","year","lb","md","ub","group"
"192","4800","Adult","Mean of historical",2026,49210.05,56265.5,64891.15,"4800 Adult Mean of historical"
"193","0","Male","Mean of historical",2026,54358.15,61517.5,70316.25,"0 Male Mean of historical"
"194","1311","Male","Mean of historical",2026,54015.975,60970.5,69688.75,"1311 Male Mean of historical"
"195","2400","Male","Mean of historical",2026,51938.125,59098.5,67806.025,"2400 Male Mean of historical"
"196","3050","Male","Mean of historical",2026,51214.2,58456.5,67310.575,"3050 Male Mean of historical"
"197","3600","Male","Mean of historical",2026,50722.5,57886.5,66642.85,"3600 Male Mean of historical"
"198","4800","Male","Mean of historical",2026,49524.975,56589.5,65273.5,"4800 Male Mean of historical"
"199","0","Female","Mean of historical",2026,54425.375,61563.5,70308.5,"0 Female Mean of historical"
"200","1311","Female","Mean of historical",2026,53806.15,60951.5,69693.45,"1311 Female Mean of historical"
"201","2400","Female","Mean of historical",2026,51781.375,58906.5,67755.3,"2400 Female Mean of historical"
"202","3050","Female","Mean of historical",2026,51067,58229,66937.7,"3050 Female Mean of historical"
"203","3600","Female","Mean of historical",2026,50507.75,57571,66428.225,"3600 Female Mean of historical"
"204","4800","Female","Mean of historical",2026,49163.325,56191,64925.375,"4800 Female Mean of historical"
"205","0","Historical","+0.2g/yr",2026,54446.45,61631.5,70414.05,"0 Historical +0.2g/yr"
"206","1311","Historical","+0.2g/yr",2026,53828.65,61085,69839.25,"1311 Historical +0.2g/yr"
"207","2400","Historical","+0.2g/yr",2026,51806.6,58996.5,67932.075,"2400 Historical +0.2g/yr"
"208","3050","Historical","+0.2g/yr",2026,51176.45,58351,67122.9,"3050 Historical +0.2g/yr"
"209","3600","Historical","+0.2g/yr",2026,50631.95,57757,66429.25,"3600 Historical +0.2g/yr"
"210","4800","Historical","+0.2g/yr",2026,49276.35,56369,65292.55,"4800 Historical +0.2g/yr"
"211","0","Pup","+0.2g/yr",2026,54462.175,61602.5,70459.8,"0 Pup +0.2g/yr"
"212","1311","Pup","+0.2g/yr",2026,53849.95,61112,69896.275,"1311 Pup +0.2g/yr"
"213","2400","Pup","+0.2g/yr",2026,51950.825,59092.5,67879.575,"2400 Pup +0.2g/yr"
"214","3050","Pup","+0.2g/yr",2026,51263.375,58429.5,67092.5,"3050 Pup +0.2g/yr"
"215","3600","Pup","+0.2g/yr",2026,50780.575,57866,66617.35,"3600 Pup +0.2g/yr"
"216","4800","Pup","+0.2g/yr",2026,49368.55,56607.5,65429.575,"4800 Pup +0.2g/yr"
"217","0","Adult","+0.2g/yr",2026,54382.675,61562,70369.25,"0 Adult +0.2g/yr"
"218","1311","Adult","+0.2g/yr",2026,53823.275,61049,69840.775,"1311 Adult +0.2g/yr"
"219","2400","Adult","+0.2g/yr",2026,51858.575,58935,67851.25,"2400 Adult +0.2g/yr"
"220","3050","Adult","+0.2g/yr",2026,51058.875,58209,67068.375,"3050 Adult +0.2g/yr"
"221","3600","Adult","+0.2g/yr",2026,50317.85,57556.5,66492.4,"3600 Adult +0.2g/yr"
"222","4800","Adult","+0.2g/yr",2026,49145.35,56284,65053.375,"4800 Adult +0.2g/yr"
"223","0","Male","+0.2g/yr",2026,54401.6,61566,70576.275,"0 Male +0.2g/yr"
"224","1311","Male","+0.2g/yr",2026,53890.75,61055.5,69991.725,"1311 Male +0.2g/yr"
"225","2400","Male","+0.2g/yr",2026,51878.975,59097,67997.025,"2400 Male +0.2g/yr"
"226","3050","Male","+0.2g/yr",2026,51382.575,58431,67280.2,"3050 Male +0.2g/yr"
"227","3600","Male","+0.2g/yr",2026,50778.375,57926.5,66810.575,"3600 Male +0.2g/yr"
"228","4800","Male","+0.2g/yr",2026,49485.925,56656.5,65447.55,"4800 Male +0.2g/yr"
"229","0","Female","+0.2g/yr",2026,54462.225,61611,70442.475,"0 Female +0.2g/yr"
"230","1311","Female","+0.2g/yr",2026,53814.95,61026,69770.05,"1311 Female +0.2g/yr"
"231","2400","Female","+0.2g/yr",2026,51766.525,58921.5,67788.375,"2400 Female +0.2g/yr"
"232","3050","Female","+0.2g/yr",2026,51119.3,58226,67039.025,"3050 Female +0.2g/yr"
"233","3600","Female","+0.2g/yr",2026,50524.925,57622.5,66260.7,"3600 Female +0.2g/yr"
"234","4800","Female","+0.2g/yr",2026,49087.375,56340,65125.725,"4800 Female +0.2g/yr"
"235","0","Historical","-0.2g/yr",2026,54310.4,61503,70243.55,"0 Historical -0.2g/yr"
"236","1311","Historical","-0.2g/yr",2026,53788.85,60928.5,69733.675,"1311 Historical -0.2g/yr"
"237","2400","Historical","-0.2g/yr",2026,51847.7,58923.5,67712.1,"2400 Historical -0.2g/yr"
"238","3050","Historical","-0.2g/yr",2026,50988.025,58213,66855.475,"3050 Historical -0.2g/yr"
"239","3600","Historical","-0.2g/yr",2026,50583.175,57628,66352.825,"3600 Historical -0.2g/yr"
"240","4800","Historical","-0.2g/yr",2026,49244.5,56322,65103.05,"4800 Historical -0.2g/yr"
"241","0","Pup","-0.2g/yr",2026,54373.425,61482.5,70242.6,"0 Pup -0.2g/yr"
"242","1311","Pup","-0.2g/yr",2026,53900.325,60966,69763.4,"1311 Pup -0.2g/yr"
"243","2400","Pup","-0.2g/yr",2026,51896.875,59007,67673.8,"2400 Pup -0.2g/yr"
"244","3050","Pup","-0.2g/yr",2026,51131.675,58322,66985.55,"3050 Pup -0.2g/yr"
"245","3600","Pup","-0.2g/yr",2026,50628.875,57787.5,66476.15,"3600 Pup -0.2g/yr"
"246","4800","Pup","-0.2g/yr",2026,49472.15,56500,65251.425,"4800 Pup -0.2g/yr"
"247","0","Adult","-0.2g/yr",2026,54376.75,61512,70212.775,"0 Adult -0.2g/yr"
"248","1311","Adult","-0.2g/yr",2026,53807.375,60929.5,69689.45,"1311 Adult -0.2g/yr"
"249","2400","Adult","-0.2g/yr",2026,51802.725,58847.5,67510.3,"2400 Adult -0.2g/yr"
"250","3050","Adult","-0.2g/yr",2026,50939.575,58145,66890.725,"3050 Adult -0.2g/yr"
"251","3600","Adult","-0.2g/yr",2026,50360.775,57585.5,66342.725,"3600 Adult -0.2g/yr"
"252","4800","Adult","-0.2g/yr",2026,49112.9,56234,64864,"4800 Adult -0.2g/yr"
"253","0","Male","-0.2g/yr",2026,54299.425,61484.5,70243.425,"0 Male -0.2g/yr"
"254","1311","Male","-0.2g/yr",2026,53831.725,60957,69682.425,"1311 Male -0.2g/yr"
"255","2400","Male","-0.2g/yr",2026,51897.75,59010.5,67877.675,"2400 Male -0.2g/yr"
"256","3050","Male","-0.2g/yr",2026,51313.125,58390.5,67065.125,"3050 Male -0.2g/yr"
"257","3600","Male","-0.2g/yr",2026,50727.825,57809,66654.375,"3600 Male -0.2g/yr"
"258","4800","Male","-0.2g/yr",2026,49395,56631.5,65201.45,"4800 Male -0.2g/yr"
"259","0","Female","-0.2g/yr",2026,54300.65,61492,70219.25,"0 Female -0.2g/yr"
"260","1311","Female","-0.2g/yr",2026,53824.625,60942,69741.6,"1311 Female -0.2g/yr"
"261","2400","Female","-0.2g/yr",2026,51671.5,58896.5,67546.275,"2400 Female -0.2g/yr"
"262","3050","Female","-0.2g/yr",2026,50937.525,58142,66892.275,"3050 Female -0.2g/yr"
"263","3600","Female","-0.2g/yr",2026,50383.575,57544,66345.15,"3600 Female -0.2g/yr"
"264","4800","Female","-0.2g/yr",2026,49108.2,56178,64963.1,"4800 Female -0.2g/yr"
"265","0","Historical","+4g in 2025",2026,55852.775,62985,72250.575,"0 Historical +4g in 2025"
